epoch,train_loss,train_acc,val_loss,val_acc,lr,epoch_time
1,1.042234,0.740307,0.408772,0.875,0.0001,689.91
2,0.326363,0.892542,0.38938,0.871692,0.0001,698.36
3,0.22539,0.920366,0.395545,0.867911,0.0001,668.06
4,0.185239,0.93291,0.40444,0.871219,0.0001,727.35
5,0.16124,0.939714,0.428404,0.865784,0.0001,756.4
6,0.138392,0.949331,0.451835,0.861059,0.0001,682.26
7,0.127603,0.951003,0.490419,0.857042,0.0001,671.15
8,0.125657,0.952638,0.478849,0.86224,0.0001,660.83
9,0.112197,0.955983,0.478197,0.856333,0.0001,662.89
10,0.110918,0.956515,0.521232,0.848771,0.0001,668.93
11,0.100058,0.961419,0.50126,0.854679,0.0001,668.64
12,0.095754,0.962939,0.517592,0.858696,0.0001,662.73
