epoch,train_loss,train_acc,val_loss,val_acc,lr,epoch_time
1,0.862086,0.797438,0.332867,0.885397,0.0001,591.43
2,0.2474,0.916603,0.346963,0.882798,0.0001,561.48
3,0.180447,0.934849,0.34145,0.880198,0.0001,561.79
4,0.157374,0.941121,0.383326,0.878308,0.0001,561.94
5,0.140367,0.94648,0.358185,0.887051,0.0001,561.54
6,0.129924,0.948495,0.40567,0.873346,0.0001,561.09
7,0.121371,0.952334,0.382835,0.87949,0.0001,561.02
8,0.11612,0.954691,0.405425,0.873582,0.0001,561.12
9,0.101362,0.958872,0.429775,0.875236,0.0001,560.79
10,0.105741,0.957693,0.419385,0.873819,0.0001,560.53
11,0.110522,0.956439,0.427703,0.876181,0.0001,560.78
12,0.095338,0.961305,0.443258,0.872164,0.0001,560.46
