class,precision,recall,f1_score,support
Bear,0.8275862068965517,0.5714285714285714,0.676056338028169,42
Brown bear,0.9210526315789473,0.7954545454545454,0.8536585365853658,44
Bull,0.4716981132075472,0.5494505494505495,0.5076142131979695,91
Butterfly,0.9402173913043478,0.9351351351351351,0.9376693766937669,185
Camel,0.9444444444444444,0.8947368421052632,0.918918918918919,38
Canary,0.6923076923076923,0.5,0.5806451612903226,18
Caterpillar,0.8243243243243243,0.8472222222222222,0.8356164383561644,72
Cattle,0.8046875,0.49282296650717705,0.6112759643916914,209
Centipede,0.7619047619047619,0.5818181818181818,0.6597938144329897,55
Cheetah,0.4888888888888889,0.5641025641025641,0.5238095238095238,39
Chicken,0.9207317073170732,0.9096385542168675,0.9151515151515152,166
Crab,0.7177914110429447,0.975,0.8268551236749117,120
Crocodile,0.9850746268656716,0.8148148148148148,0.8918918918918919,81
Deer,0.8685258964143426,0.9276595744680851,0.897119341563786,235
Duck,0.553030303030303,0.6952380952380952,0.6160337552742616,105
Eagle,0.9518716577540107,0.9368421052631579,0.9442970822281167,190
Elephant,0.6727272727272727,0.9487179487179487,0.7872340425531915,39
Fish,0.8647959183673469,0.7775229357798165,0.8188405797101449,872
Fox,0.9857142857142858,0.9583333333333334,0.971830985915493,72
Frog,0.8888888888888888,0.9113924050632911,0.9,79
Giraffe,0.8611111111111112,1.0,0.9253731343283582,31
Goat,0.8378378378378378,0.5740740740740741,0.6813186813186813,108
Goldfish,0.7222222222222222,0.15476190476190477,0.2549019607843137,84
Goose,0.26666666666666666,0.19047619047619047,0.2222222222222222,42
Hamster,0.6666666666666666,0.13333333333333333,0.2222222222222222,75
Harbor seal,0.5333333333333333,0.11764705882352941,0.1927710843373494,68
Hedgehog,0.9795918367346939,0.9230769230769231,0.9504950495049505,52
Hippopotamus,1.0,0.7272727272727273,0.8421052631578947,33
Horse,0.7828282828282829,0.9393939393939394,0.8539944903581267,165
Jaguar,0.3333333333333333,0.047619047619047616,0.08333333333333333,42
Jellyfish,0.7676056338028169,1.0,0.8685258964143426,109
Kangaroo,0.7903225806451613,0.9607843137254902,0.8672566371681416,51
Koala,0.8571428571428571,0.9230769230769231,0.8888888888888888,26
Ladybug,0.975609756097561,1.0,0.9876543209876543,40
Leopard,0.4666666666666667,0.6885245901639344,0.5562913907284768,61
Lion,0.9626168224299065,0.9903846153846154,0.976303317535545,104
Lizard,0.760806916426513,0.9887640449438202,0.8599348534201955,267
Lynx,0.9375,0.8823529411764706,0.9090909090909091,34
Magpie,0.8571428571428571,0.8823529411764706,0.8695652173913043,34
Monkey,0.9725274725274725,0.9698630136986301,0.9711934156378601,365
Moths and butterflies,0.64,0.5517241379310345,0.5925925925925926,29
Mouse,0.5128205128205128,0.9302325581395349,0.6611570247933884,86
Mule,0.825,0.7857142857142857,0.8048780487804879,42
Ostrich,0.9871794871794872,0.8191489361702128,0.8953488372093024,94
Otter,0.7571428571428571,0.803030303030303,0.7794117647058824,66
Owl,0.9558823529411765,0.9285714285714286,0.9420289855072463,70
Panda,0.7083333333333334,0.8947368421052632,0.7906976744186046,19
Parrot,0.9170506912442397,0.9802955665024631,0.9476190476190476,203
Penguin,0.9024390243902439,0.9367088607594937,0.9192546583850931,79
Pig,0.8852459016393442,0.84375,0.864,128
Polar bear,0.8461538461538461,0.9649122807017544,0.9016393442622951,57
Rabbit,0.9669421487603306,0.8602941176470589,0.9105058365758755,136
Raccoon,0.8983050847457628,0.8983050847457628,0.8983050847457628,59
Raven,0.9042553191489362,0.8673469387755102,0.8854166666666666,98
Red panda,0.7213114754098361,1.0,0.8380952380952381,44
Rhinoceros,0.6935483870967742,0.9347826086956522,0.7962962962962963,46
Scorpion,0.9361702127659575,1.0,0.967032967032967,44
Sea lion,0.37037037037037035,0.7272727272727273,0.49079754601226994,55
Sea turtle,0.45454545454545453,0.14423076923076922,0.21897810218978103,104
Seahorse,0.875,0.1794871794871795,0.2978723404255319,39
Shark,0.4496124031007752,0.9508196721311475,0.6105263157894737,61
Sheep,0.7894736842105263,0.7731958762886598,0.78125,97
Shrimp,0.881578947368421,0.7052631578947368,0.783625730994152,95
Snail,0.9826086956521739,0.9416666666666667,0.9617021276595744,120
Snake,0.9808612440191388,0.9360730593607306,0.9579439252336449,219
Sparrow,0.9562043795620438,0.9492753623188406,0.9527272727272728,138
Spider,0.9813084112149533,0.9859154929577465,0.9836065573770492,213
Squid,0.75,0.23076923076923078,0.35294117647058826,13
Squirrel,0.875,0.9,0.8873239436619719,70
Starfish,0.7662337662337663,0.9365079365079365,0.8428571428571429,63
Swan,0.6185567010309279,0.759493670886076,0.6818181818181818,79
Tick,0.0,0.0,0.0,1
Tiger,0.8275862068965517,0.8888888888888888,0.8571428571428571,27
Tortoise,0.5608465608465608,0.8617886178861789,0.6794871794871795,123
Turkey,0.9,0.5094339622641509,0.6506024096385542,53
Turtle,0.0,0.0,0.0,7
Whale,0.6891891891891891,0.8360655737704918,0.7555555555555555,61
Woodpecker,0.9428571428571428,0.9428571428571428,0.9428571428571428,35
Worm,0.3469387755102041,0.9444444444444444,0.5074626865671642,18
Zebra,0.9761904761904762,0.9761904761904762,0.9761904761904762,42
